Continente,Pais,Hom2009,Muj2009,Hom2010,Muj2010,Hom2011,Muj2011,Hom2012,Muj2012,Hom2013,Muj2013,Hom2014,Muj2014,Hom2015,Muj2015
AMERICA,MÉXICO,35925,33646,39754,37315,44451,42207,48308,46309,51358,49424,55070,53244,58684,56936
AMERICA,NICARAGUA,592,516,693,631,736,656,773,702,820,740,850,774,850,797
AMERICA,PANAMÁ,3172,2609,3559,2985,3970,3374,4313,3671,4629,3966,5135,4397,5689,4830
AMERICA,PARAGUAY,1219,1131,1580,1484,1856,1820,2075,2019,2227,2137,2403,2298,2654,2523
AMERICA,PERÚ,4375,4633,5360,5529,6568,6612,7630,7584,8708,8607,9956,9712,11502,11123
AMERICA,REPÚBLICA DOMINICANA,6857,5998,7363,6517,7835,6973,8380,7522,9110,8272,9937,8991,10435,9591
AMERICA,SAN CRISTÓBAL Y NIEVES,.,.,2,.,3,1,3,1,3,1,2,.,3,.
AMERICA,SAN VICENTE Y LAS GRANADINAS,.,.,.,.,.,.,.,.,.,1,.,1,.,1
AMERICA,SANTA LUCÍA,2,2,3,2,3,3,4,3,4,3,4,3,3,3
AMERICA,SURINAM,.,.,1,1,1,2,1,2,1,2,1,.,2,.
AMERICA,TRINIDAD Y TOBAGO,21,14,26,22,30,31,42,34,47,23,47,29,54,39
AMERICA,URUGUAY,23220,26223,25567,28977,27482,31141,28159,31887,29293,33198,29926,33901,30344,34151
AMERICA,VENEZUELA,79401,78721,83964,83347,87203,86253,89920,89115,92120,91043,94887,93698,95925,94676
ASIA,AFGANISTÁN,3,2,14,6,12,5,16,7,25,7,21,14,21,16
ASIA,ARABIA SAUDÍ,299,236,332,246,378,265,459,294,612,316,872,376,1197,473
ASIA,AZERBAIYÁN,1,1,3,2,5,4,4,2,4,4,6,6,10,9
ASIA,BAHRÉIN,9,12,12,18,18,23,16,17,15,22,20,19,24,25
ASIA,BANGLADESH,.,.,.,.,8,4,16,16,26,21,27,21,41,26
ASIA,BRUNEI,.,.,.,.,.,.,.,1,1,1,3,1,4,4
ASIA,CAMBOYA,16,9,14,7,28,18,27,21,32,25,40,25,35,18
ASIA,CHINA,1359,933,1568,1040,1843,1212,2214,1417,2520,1606,2760,1783,2952,1832
ASIA,COREA,97,49,104,64,122,75,147,86,192,107,208,131,229,155
ASIA,COREA DEL NORTE,.,.,.,.,.,.,.,1,.,1,.,.,1,.
ASIA,EMIRATOS ÁRABES UNIDOS,565,464,677,561,806,692,952,842,1175,992,1552,1249,1882,1457
ASIA,FILIPINAS,1250,1282,1332,1358,1471,1459,1566,1544,1677,1648,1794,1781,1930,1892
ASIA,INDIA,154,185,215,281,271,296,335,329,362,333,393,356,396,362
ASIA,INDONESIA,143,87,171,117,193,117,217,118,269,143,343,158,369,179
ASIA,IRÁN,56,50,52,51,57,53,49,52,44,47,39,42,30,42
ASIA,IRAQ,4,2,5,4,5,2,10,7,14,7,21,10,30,14
ASIA,ISRAEL,656,737,796,896,943,1051,1074,1177,1213,1283,1177,1233,1348,1351
ASIA,JAPÓN,800,563,866,610,901,620,957,632,1004,664,1117,713,1207,773
ASIA,JORDANIA,488,529,521,557,539,568,565,612,619,659,626,663,637,658
ASIA,KAZAJSTÁN,27,14,29,16,37,17,42,15,38,15,37,14,37,14
ASIA,KUWAIT,37,44,43,44,40,54,52,68,57,72,78,88,97,97
ASIA,LAOS,6,3,6,6,5,4,5,3,4,5,9,7,7,7
ASIA,LÍBANO,306,302,354,332,382,362,399,393,410,421,404,416,402,396
ASIA,MALASIA,97,94,118,96,125,101,145,113,178,144,201,159,258,194
ASIA,MALDIVAS,.,.,.,.,.,.,.,2,1,8,1,7,2,3
ASIA,MONGOLIA,.,.,.,.,.,.,.,.,1,1,2,2,1,2
ASIA,MYANMAR,.,.,3,.,6,2,8,4,6,4,7,5,14,6
ASIA,NEPAL,.,.,5,7,1,6,3,6,3,8,5,8,7,12
ASIA,OMÁN,28,32,36,33,34,39,50,43,50,53,54,57,69,59
ASIA,OTROS PAÍSES DE ASIA,.,.,.,.,.,.,.,.,.,.,361,279,240,116
ASIA,PAKISTÁN,107,104,152,144,165,143,187,181,240,240,302,292,350,311
ASIA,"PALESTINA. ESTADO OBSERVADOR, NO MIEMBRO DE NACIONES UNIDAS",.,.,.,.,.,.,.,.,.,.,.,.,146,171
ASIA,QATAR,204,130,224,137,229,138,313,187,441,252,635,355,802,493
ASIA,SINGAPUR,206,214,217,228,256,237,367,335,475,430,623,538,766,630
ASIA,SIRIA,241,217,398,368,389,366,412,374,343,305,243,195,222,167
